시도별,경제활동별,2013실질,2014실질,2015실질,2016실질,2017실질,2018실질,2019실질,2020실질,2021실질,2022실질
경기도,　정보통신업,13155317,14497356,15429379,15756911,16036307,16767769,17511717,18865134,19698829,19639298
경기도,　금융 및 보험업,12286216,13114890,13749585,14143771,14824593,15666695,15843002,17043494,18189559,19341625
경기도,　부동산업,28071248,29315364,29713638,30968440,31570069,32885232,33796894,35788052,36937794,37736247
경기도,　사업서비스업,33968544,37420210,39713614,40210839,41304078,44411474,45505003,45684295,48892374,51818919
경기도,"　공공 행정, 국방 및 사회보장 행정",16047416,16355805,16295469,16611073,17370609,18196111,18802927,19621151,20637596,21238616
경기도,　교육 서비스업,16252166,16564202,16994149,17226277,17677014,18160226,18556361,18452119,19418304,20192365
경기도,　보건업 및 사회복지 서비스업,11413768,12304823,12847188,13896547,15372537,16677497,18577532,18811273,20375731,22241711
경기도,　문화 및 기타서비스업,11294868,11269757,11006347,11297509,10998757,11321029,11580099,10439321,10937287,11821423
경상남도,지역내총생산(시장가격),104475348,104843574,106590936,107343355,106561346,107224316,109370902,103425415,105384664,110265302
경상남도,순생산물세,7735796,7973794,8077175,8062935,7847851,7514624,7845884,7607391,7584573,8602270
경상남도,총부가가치(기초가격),96745505,96869584,98513761,99280420,98715612,99726659,101532251,95817774,97805741,101603336
경상남도,"농업, 임업 및 어업",3380943,3611131,3569027,3424494,3555810,3848917,4035270,3697430,3651030,3750562
경상남도,광제조업,41983652,41292059,40870463,40832075,39169578,39490070,40153800,36736388,37226020,38289623
경상남도,　광업,95123,103767,108370,111427,115143,90794,76940,81208,92288,79212
경상남도,　제조업,41887172,41187801,40762093,40720648,39054257,39400932,40079271,36657100,37136296,38211999
경상남도,　　음식료품 및 담배제조업,2057479,2088426,2145712,2082668,2100663,2105155,2166805,2087324,2172835,2257288
경상남도,　　섬유 의복 및 가죽 제품 제조업,549265,569891,546969,484839,489318,464549,413832,415315,402877,381784
경상남도,　　목재종이인쇄 및 복제업,875736,843129,821149,824598,823479,829747,787705,741969,796687,775251
경상남도,　　석탄 및 석유 화학제품 제조업,3410824,3485272,3810844,3796478,3735977,3673864,3634040,3257368,3310716,3194400
경상남도,　　비금속광물 및 금속제품 제조업,9192211,9099676,9862849,9651250,9146585,8969655,8952886,8433111,7996207,8413806
경상남도,　　전기 전자 및 정밀기기 제조업,4651220,4527649,5246459,5207293,5708490,6151212,5839922,6196533,6777548,6411173
경상남도,　　기계 운송장비 및 기타 제품 제조업,21278553,20699427,18328111,18673522,17029211,17180505,18268832,15539443,15719741,16815026
경상남도,"전기, 가스, 증기 및 공기 조절 공급업",3156568,2902433,2986099,3051389,3247629,3224179,3404645,2901739,3322616,4069716
경상남도,건설업,5339584,5038166,5708458,5978586,6310432,5863635,5075589,4574795,4211122,4279179
경상남도,서비스업,42980432,44030532,45379714,45993876,46417015,47282082,48946938,47818634,49463302,51601924
경상남도,　도매 및 소매업,4518246,4540695,4669975,4685416,4814306,4855955,4915899,4690709,4716740,4896489
경상남도,　운수 및 창고업,2747084,2762872,2812226,2799945,2754344,2747652,2847860,2584242,2873134,2867072
경상남도,　숙박 및 음식점업,2144312,2159498,2166925,2209089,2174526,2221936,2254667,1904490,2034618,2361927
경상남도,　정보통신업,1351356,1362734,1372960,1399099,1369439,1413072,1547904,1638362,1732497,1763706
경상남도,　금융 및 보험업,3377945,3665226,3829560,3803515,3867645,4002722,4000604,4092106,4285774,4406259
경상남도,　부동산업,5787951,6226728,6374451,6471965,6437598,6290493,6371968,6287174,6431683,6558630
경상남도,　사업서비스업,5104033,5092709,5362611,5365952,5349235,5449899,5819938,5371564,5502135,5784471
경상남도,"　공공 행정, 국방 및 사회보장 행정",6894549,6955951,7257727,7361447,7574145,7873607,8243552,8459934,8482173,8823010
경상남도,　교육 서비스업,4880280,4939561,5005067,5047444,5157783,5200402,5296878,5344134,5643149,5924971
경상남도,　보건업 및 사회복지 서비스업,3537583,3717741,3930716,4215015,4407051,4659898,5086744,5107768,5375316,5713353
경상남도,　문화 및 기타서비스업,2667274,2617719,2597496,2634989,2516468,2563587,2563069,2375950,2440840,2521964
제주특별자치도,지역내총생산(시장가격),14763437,15785920,16946709,18307842,19144657,18968300,19186190,17957495,18173026,19003180
제주특별자치도,순생산물세,1022232,1194865,1387852,1573350,1628587,1504838,1503707,1425548,1403687,1594432
제주특별자치도,총부가가치(기초가격),13744213,14592500,15558857,16734492,17516293,17466509,17686075,16534955,16773264,17404638
제주특별자치도,"농업, 임업 및 어업",1867349,1780209,1715518,1814901,1873293,1638278,1615727,1667043,1675235,1710899
제주특별자치도,광제조업,563862,591447,688843,750364,807655,769268,725781,694016,727598,707447
제주특별자치도,　광업,54520,44664,41009,39918,30386,19951,9869,11305,20196,21557
제주특별자치도,　제조업,510893,547676,647834,710446,777345,749941,716737,683443,708531,687100
제주특별자치도,　　음식료품 및 담배제조업,218863,235287,262873,253400,269986,255272,259499,258010,263092,269989
제주특별자치도,　　섬유 의복 및 가죽 제품 제조업,7015,8625,6547,5486,6238,5330,4304,4626,4539,4189
제주특별자치도,　　목재종이인쇄 및 복제업,28129,31354,30399,32832,32625,58414,49218,48405,50130,40494
제주특별자치도,　　석탄 및 석유 화학제품 제조업,45752,48418,57334,68404,72752,66298,70726,68371,73872,70823
제주특별자치도,　　비금속광물 및 금속제품 제조업,125067,136441,173008,208244,232554,187239,172540,138903,135640,130093
제주특별자치도,　　전기 전자 및 정밀기기 제조업,22023,26556,41078,49651,78013,95084,83381,95536,114086,102130
제주특별자치도,　　기계 운송장비 및 기타 제품 제조업,64678,61527,76595,92429,86130,78219,73183,65568,64985,65996
제주특별자치도,"전기, 가스, 증기 및 공기 조절 공급업",350411,390190,369349,335850,365495,349266,321341,353260,376385,463600
제주특별자치도,건설업,1223465,1320244,1530408,1916635,2145254,1752148,1560731,1257515,1028798,1009079
제주특별자치도,서비스업,9724730,10516447,11254739,11916742,12322284,12975082,13485756,12627736,13066189,13661936
제주특별자치도,　도매 및 소매업,1046112,1102849,1191836,1248977,1298180,1329974,1376188,1124495,1128049,1225833
제주특별자치도,　운수 및 창고업,800171,857006,906359,960624,831741,966402,941866,632113,739088,865815
제주특별자치도,　숙박 및 음식점업,775617,805440,884623,1023345,1031460,1093302,1151363,1011399,1110932,1291688
제주특별자치도,　정보통신업,369645,562349,683609,919508,1001472,1087121,1127031,1105716,1012254,921957
제주특별자치도,　금융 및 보험업,646148,719465,777247,830832,907745,961979,1014503,1059846,1107481,1170502
제주특별자치도,　부동산업,1121575,1262217,1337282,1374416,1396828,1435596,1431874,1386116,1405988,1395428
제주특별자치도,　사업서비스업,982895,1088957,1172574,1166067,1217466,1257384,1377833,1191125,1227445,1216848
제주특별자치도,"　공공 행정, 국방 및 사회보장 행정",1543489,1580830,1736347,1789195,1960080,2047529,2143688,2223337,2255238,2378802
제주특별자치도,　교육 서비스업,1010493,1035621,1051029,1044031,1079342,1115534,1150369,1149272,1219769,1200646
제주특별자치도,　보건업 및 사회복지 서비스업,712952,768811,786570,823108,865416,919284,1008168,1023132,1085436,1141572
제주특별자치도,　문화 및 기타서비스업,719125,734380,727263,736639,739375,772662,766752,690505,735853,806742
